分类,imageID,workName,authorName,dynasty,instName,公开版权
男,2b6a7752-5f3e-11ed-b1c1-2d612f358c7a,商汤王立像,马麟,宋代,台北故宫博物院,是
男,2b6a84d6-5f3e-11ed-b1c1-2d612f358c7a,柳塘呼犊,宋人,宋代,台北故宫博物院,是
男,2b6a85da-5f3e-11ed-b1c1-2d612f358c7a,宋太祖坐像,,宋代,台北故宫博物院,是
男,2b6a86ac-5f3e-11ed-b1c1-2d612f358c7a,宋徽宗坐像,,宋代,台北故宫博物院,是
男,2b6ab8de-5f3e-11ed-b1c1-2d612f358c7a,摹睢阳五老图（五开）,尤求,明代,上海博物馆,否
男,2b6accf2-5f3e-11ed-b1c1-2d612f358c7a,画萧翼赚兰亭图,阎立本,隋唐,台北故宫博物院,是
男,2b6ad06c-5f3e-11ed-b1c1-2d612f358c7a,春郊游骑图,唐人,隋唐,台北故宫博物院,是
男,6115e388-4070-11ed-9adc-c934f75048ef,济公图,法常,宋代,,否
男,6116c3f2-4070-11ed-9adc-c934f75048ef,十六应真图,梵隆,宋代,弗利尔美术馆,否
男,6116ef62-4070-11ed-9adc-c934f75048ef,十六应真图,梵隆,宋代,弗利尔美术馆,否
男,611712e4-4070-11ed-9adc-c934f75048ef,十六应真图,梵隆,宋代,弗利尔美术馆,否
男,611754ac-4070-11ed-9adc-c934f75048ef,十六应真图,梵隆,宋代,弗利尔美术馆,否
男,611a7628-4070-11ed-9adc-c934f75048ef,赏月空山图,佚名,宋代,台北故宫博物院,是
男,611b72c6-4070-11ed-9adc-c934f75048ef,宋宣祖坐像,佚名,宋代,台北故宫博物院,是
男,611cdd6e-4070-11ed-9adc-c934f75048ef,阿弥陀佛图,佚名,宋代,大都会博物馆,是
男,6125717c-4070-11ed-9adc-c934f75048ef,太祖坐像轴,佚名,宋代,台北故宫博物院,是
男,6126af9c-4070-11ed-9adc-c934f75048ef,真宗坐像轴,佚名,宋代,台北故宫博物院,是
男,6126d738-4070-11ed-9adc-c934f75048ef,F1919.172-FS-8140,佚名,宋代,弗利尔美术馆,否
男,61272ea4-4070-11ed-9adc-c934f75048ef,F1919.172-FS-8140,佚名,宋代,弗利尔美术馆,否
男,6127e0f6-4070-11ed-9adc-c934f75048ef,名流集藻册,佚名,宋代,故宫博物院,否
男,612b252c-4070-11ed-9adc-c934f75048ef,司马光拜左仆射告身卷,佚名,宋代,台北故宫博物院,是
男,6130eb6a-4070-11ed-9adc-c934f75048ef,十八学士图之琴,佚名,宋代,台北故宫博物院,是
男,61341fe2-4070-11ed-9adc-c934f75048ef,代帝半身像册　宋真宗,佚名,宋代,台北故宫博物院,是
男,61343f0e-4070-11ed-9adc-c934f75048ef,洗马图轴,佚名,宋代,台北故宫博物院,是
男,6134788e-4070-11ed-9adc-c934f75048ef,释迦三尊像,佚名,宋代,,否
男,61350bb4-4070-11ed-9adc-c934f75048ef,十王图(十幅),陆信忠,宋代,奈良国立博物馆,否
男,6135313e-4070-11ed-9adc-c934f75048ef,十王图(十幅),陆信忠,宋代,奈良国立博物馆,否
男,6135d44a-4070-11ed-9adc-c934f75048ef,荷亭纳凉图,赵令穰,宋代,私人藏,否
男,613e71fe-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613e9ee0-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613eb60a-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613ed8b0-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613f027c-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613f20cc-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613f4494-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613f7306-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613f9106-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
男,613f9f34-4070-11ed-9adc-c934f75048ef,乾隆皇帝朝服像-青年,佚名,清代,故宫博物院,否
男,614039c6-4070-11ed-9adc-c934f75048ef,庆有尊者像,佚名,隋唐,上海博物馆,否
男,61407968-4070-11ed-9adc-c934f75048ef,宋真宗坐像軸,佚名,宋代,台北故宫博物院,是
男,6140c2a6-4070-11ed-9adc-c934f75048ef,牧牛读书图,佚名,明代,故宫博物院,否
男,61432af0-4070-11ed-9adc-c934f75048ef,涅槃图,佚名,宋代,弗利尔美术馆,否
男,61435912-4070-11ed-9adc-c934f75048ef,香山九老图,佚名,宋代,台北故宫博物院,是
男,61437352-4070-11ed-9adc-c934f75048ef,棕荫习静图,佚名,宋代,台北故宫博物院,是
男,61450a1e-4070-11ed-9adc-c934f75048ef,明宪宗坐像轴,佚名,明代,台北故宫博物院,是
男,614527ce-4070-11ed-9adc-c934f75048ef,宋徽宗坐像,佚名,宋代,台北故宫博物院,是
男,6145864c-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,6145af14-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,6145d2be-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,6145e9c0-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,61462ebc-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,61464b9a-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,614671b0-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,614688d0-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
男,6146de34-4070-11ed-9adc-c934f75048ef,唐太宗立像（一）,佚名,宋代,台北故宫博物院,是
男,6147c9c0-4070-11ed-9adc-c934f75048ef,非熊叶梦图,佚名,宋代,台北故宫博物院,是
男,6147e78e-4070-11ed-9adc-c934f75048ef,八相图,佚名,宋代,故宫博物院,否
男,61492374-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
男,61494bd8-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
男,61498120-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
男,614c655c-4070-11ed-9adc-c934f75048ef,帝尧立像,佚名,宋代,台北故宫博物院,是
男,614df656-4070-11ed-9adc-c934f75048ef,雪渔图,佚名,宋代,故宫博物院,否
男,614e3ecc-4070-11ed-9adc-c934f75048ef,游骑图,佚名,宋代,故宫博物院,否
男,614e46d8-4070-11ed-9adc-c934f75048ef,罗汉图,佚名,宋代,克利夫兰艺术博物馆,是
男,61506aee-4070-11ed-9adc-c934f75048ef,明成祖坐像轴,佚名,明代,台北故宫博物院,是
男,6153e926-4070-11ed-9adc-c934f75048ef,历代名人图像册,佚名,清代,,否
男,6154060e-4070-11ed-9adc-c934f75048ef,历代名人图像册,佚名,清代,,否
男,61541e1e-4070-11ed-9adc-c934f75048ef,历代名人图像册,佚名,清代,,否
男,61544916-4070-11ed-9adc-c934f75048ef,楼阁山水图一,佚名,宋代,,否
男,61545938-4070-11ed-9adc-c934f75048ef,试马图,佚名,元代,台北故宫博物院,是
男,6157c776-4070-11ed-9adc-c934f75048ef,博古图,佚名,宋代,台北故宫博物院,是
男,6158f902-4070-11ed-9adc-c934f75048ef,柳阴高士图,佚名,宋代,台北故宫博物院,是
男,61593598-4070-11ed-9adc-c934f75048ef,明宣宗马上像,佚名,明代,台北故宫博物院,是
男,615a3150-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
男,615a4e4c-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
男,615a7214-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
男,615a903c-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
男,615ab8aa-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
男,615add62-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
男,615baeb8-4070-11ed-9adc-c934f75048ef,草堂消夏图,佚名,宋代,克利夫兰艺术博物馆,是
男,615c7834-4070-11ed-9adc-c934f75048ef,三教图,佚名,明代,弗利尔美术馆,否
男,615cceec-4070-11ed-9adc-c934f75048ef,三星图颂,佚名,清代,台北故宫博物院,是
男,615d8de6-4070-11ed-9adc-c934f75048ef,金阙玄元太上老君八十一化图卷,佚名,清代,,否
男,615df506-4070-11ed-9adc-c934f75048ef,东坡骑驴图,佚名,元代,,否
男,615f5d74-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,615f7642-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,615f8e52-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,615fa59a-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,615fbc9c-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,615fd3da-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,615fec12-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,61600378-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,61601c14-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,61603370-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,61604ad6-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,6160621e-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,6160792a-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
男,61609162-4070-11ed-9adc-c934f75048ef,至圣先贤半身像,佚名,元代,台北故宫博物院,是
